rgb,Punch_VFR,Punch_VFL,One_VFR,One_VFL,Two_VFR,Two_VFL,Three_VFR,Three_VFL,Four_VFR,Four_VFL,Five_VFR,Five_VFL,Six_VFR,Six_VFL,Seven_VFR,Seven_VFL,Eight_VFR,Eight_VFL,Nine_VFR,Nine_VFL,Span_VFR,Span_VFL,Horiz_HBL,Horiz_HFL,Horiz_HBR,Horiz_HFR
..\Subject1\Color\5145_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\4594_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[423 339 90 71],[0 0 0 0],[0 0 0 0],[266 344 83 62]
..\Subject1\Color\1752_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[338 262 70 77],[518 259 60 76],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\3813_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\2700_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[326 225 72 101],[521 231 69 96],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\4357_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[620 325 80 60],[449 341 89 73],[0 0 0 0]
..\Subject1\Color\4349_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[604 328 84 59],[437 339 89 72],[0 0 0 0]
..\Subject1\Color\4006_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[332 247 90 72],[513 249 84 72],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\3091_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[377 266 66 77],[481 266 66 78],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\2393_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[338 270 58 79],[526 270 53 76],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\4044_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[308 234 105 82],[499 234 100 74],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\3576_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\1016_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[365 259 71 86],[474 255 68 81],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\2354_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[353 266 61 83],[506 258 59 79],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\4897_color.png,[343 252 66 63],[505 253 59 60],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\1229_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[320 282 63 74],[546 284 56 72],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\1587_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[354 265 56 77],[509 264 52 75],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\3641_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\945_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[356 237 78 102],[461 231 80 97],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\4296_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[640 338 94 68],[392 339 91 84],[0 0 0 0]
..\Subject1\Color\215_color.png,[0 0 0 0],[0 0 0 0],[357 248 56 101],[500 250 58 96],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\488_color.png,[0 0 0 0],[0 0 0 0],[361 270 49 87],[517 270 48 83],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\3032_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[343 242 78 106],[481 249 82 95],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\3550_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\3394_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\2014_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[361 243 52 89],[519 238 45 90],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\3654_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\694_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[332 253 49 86],[556 259 47 83],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\2891_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[345 278 66 77],[523 281 60 76],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\636_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[372 248 50 90],[503 246 47 89],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\3447_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\2992_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[356 246 73 95],[484 245 74 96],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\1694_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[310 238 95 106],[505 238 86 102],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\4395_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[596 340 93 61],[422 349 84 73],[0 0 0 0]
..\Subject1\Color\2779_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[337 263 60 73],[544 270 59 74],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\4012_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[322 240 96 76],[511 246 90 75],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\2971_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[352 264 65 83],[497 260 67 85],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\4566_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[435 330 99 84],[0 0 0 0],[0 0 0 0],[214 341 92 71]
..\Subject1\Color\2289_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[332 237 69 105],[515 236 67 97],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\3461_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\3808_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\1493_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[299 260 58 79],[566 261 57 78],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\1443_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[359 258 61 80],[506 255 59 80],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
